,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons
191,Mohammed Siraj,59,20,13,96,2.74,109,17.26,0,0,10,2,5
192,Mohit Sharma,38,18,7,93,1.66,91,18.88,0,0,7,2,4
193,Mohsin Khan,9,3,2,23,23.0,16,143.75,0,0,2,1,1
194,Moises Henriques,34,30,10,490,8.54,393,38.72,0,3,43,11,3
195,Morne Morkel,10,2,2,1,0.0,1,100.0,0,0,0,0,1
196,Mujeeb Ur Rahman,19,7,4,12,0.69,15,17.26,0,0,2,0,4
197,Mukesh Choudhary,13,2,1,6,6.0,6,100.0,0,0,1,0,1
198,Munaf Patel,2,1,0,0,0.0,1,0.0,0,0,0,0,1
199,Murali Vijay,20,20,1,561,5.6,478,26.48,0,5,60,12,4
200,Murugan Ashwin,42,13,4,35,0.54,50,9.95,0,0,2,1,6
201,Mustafizur Rahman,29,8,7,12,0.11,22,16.72,0,0,0,1,3
202,Naman Ojha,32,19,4,216,3.82,207,27.23,0,0,9,8,3
203,Narayan Jagadeesan,5,2,0,33,16.5,29,113.79,0,0,4,0,1
204,Nathan Coulter-Nile,25,10,4,53,1.27,48,19.1,0,0,5,2,5
205,Nathan Ellis,3,2,1,18,18.0,16,112.5,0,0,0,1,1
206,Navdeep Saini,30,7,3,33,2.06,37,18.75,0,0,3,0,4
207,Nicholas Pooran,47,44,9,912,6.83,603,36.43,0,4,52,65,4
208,Nikhil Naik,4,4,0,31,2.17,50,16.81,0,0,2,0,3
209,Nitish Rana,91,85,8,2181,4.19,1625,19.32,0,15,190,111,7
210,Obed McCoy,7,1,0,8,8.0,5,160.0,0,0,0,1,1
211,Odean Smith,6,6,3,51,17.0,44,115.9,0,0,1,5,1
212,Parthiv Patel,46,46,1,1098,6.22,822,33.17,0,6,140,26,4
213,Parveez Rasool,4,1,0,10,10.0,9,111.11,0,0,1,0,1
214,Pat Cummins,38,30,11,379,5.19,247,43.87,0,3,24,26,4
215,Pawan Negi,29,22,6,213,3.14,187,22.58,0,0,13,10,4
216,Peter Handscomb,2,1,0,6,6.0,12,50.0,0,0,0,0,1
217,Piyush Chawla,47,17,5,98,1.27,105,13.2,0,0,9,3,5
218,Prabhsimran Singh,5,5,0,50,3.67,55,30.75,0,0,4,2,3
219,Pradeep Sahu,5,2,1,19,19.0,13,146.15,0,0,1,1,1
220,Pradeep Sangwan,9,5,1,4,0.33,13,10.0,0,0,0,0,3
221,Prashant Chopra,1,1,0,8,8.0,6,133.33,0,0,2,0,1
222,Prasidh Krishna,51,10,7,9,0.24,24,4.8,0,0,0,0,5
223,Praveen Kumar,22,9,4,36,3.75,36,48.14,0,0,4,0,2
224,Pravin Dubey,3,1,1,7,0.0,13,53.84,0,0,0,0,1
225,Pravin Tambe,7,1,1,7,0.0,19,36.84,0,0,1,0,1
226,Prayas Ray Barman,1,1,0,19,19.0,24,79.16,0,0,2,0,1
227,Prerak Mankad,1,1,1,4,0.0,1,400.0,0,0,1,0,1
228,Prithvi Raj Yarra,2,1,1,0,0.0,1,0.0,0,0,0,0,1
229,Prithvi Shaw,63,63,0,1588,5.08,1077,29.42,0,12,192,55,5
230,Priyam Garg,21,17,1,251,5.8,218,39.61,0,1,15,9,3
231,Quinton De Kock,15,15,1,508,36.29,341,148.97,1,3,47,23,1
232,Quinton de Kock,64,64,5,1975,6.52,1501,25.98,1,14,192,75,5
233,Rahul Chahar,55,19,6,108,0.87,100,20.63,0,0,10,4,5
234,Rahul Tewatia,60,45,17,722,4.18,553,22.21,0,1,57,34,6
235,Rahul Tripathi,76,74,10,1798,4.6,1277,22.97,0,10,176,68,6
236,Rajagopal Sathish,4,3,0,24,8.0,24,100.0,0,0,1,1,1
237,Rajangad Bawa,2,2,0,11,5.5,14,78.57,0,0,1,0,1
238,Rajat Bhatia,13,8,6,50,12.5,37,66.03,0,0,1,3,2
239,Rajat Patidar,12,11,1,404,18.31,280,66.82,1,2,30,21,2
240,Ramandeep Singh,5,4,2,45,22.5,40,112.5,0,0,3,1,1
241,Rashid Khan,92,43,15,313,1.83,206,25.11,0,0,20,22,6
242,Rasikh Salam,3,2,1,12,1.75,10,60.42,0,0,1,0,2
243,Rassie van der Dussen,3,3,1,22,11.0,24,91.66,0,0,2,0,1
244,Ravi Bishnoi,23,4,2,8,2.0,16,20.83,0,0,1,0,2
245,Ravichandran Ashwin,87,44,16,457,2.66,348,21.02,0,1,32,20,6
246,Ravindra Jadeja,99,77,42,1119,5.21,842,18.85,0,2,84,41,7
247,Ricky Bhui,2,2,0,7,1.75,17,14.58,0,0,0,0,2
248,Rinku Singh,17,15,3,251,4.47,193,28.19,0,0,23,9,4
249,Ripal Patel,4,3,1,31,7.75,30,73.15,0,0,3,1,2
250,Rishabh Pant,98,97,15,2838,4.86,1918,20.95,1,15,260,129,7
251,Rishi Dhawan,8,6,4,51,4.62,46,81.46,0,0,4,3,2
252,Riyan Parag,47,37,6,522,4.53,418,30.58,0,2,40,22,4
