,Player,POS,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,size
145,Kane Richardson,127,4,1,1,1,0.0,1,100.0,0,0,0,0,1
146,Kane Williamson,224,74,73,16,2070,19.64,1640,855.98,0,18,181,63,1
147,Karan Sharma,147,1,1,0,4,0.5714285714285714,4,100.0,0,0,1,0,1
148,Karn Sharma,152,14,9,3,85,0.0,71,239.51,0,0,8,3,1
149,Kartik Tyagi,377,16,7,3,13,1.1666666666666667,16,233.32,0,0,1,0,1
150,Karun Nair,391,49,43,3,976,2.6666666666666665,782,667.21,0,6,105,25,1
151,Kedar Jadhav,378,46,39,11,612,0.0,527,679.42,0,2,56,19,1
152,Keemo Paul,86,8,6,1,18,0.0,24,75.0,0,0,1,1,1
153,Kevin Pietersen,64,4,4,2,73,0.0,61,119.67,0,0,4,3,1
154,Khaleel Ahmed,409,23,3,0,1,0.0,5,50.0,0,0,0,0,1
155,Kieron Pollard,241,96,86,27,1661,7.2,1137,1020.34,0,8,98,114,1
156,Krishnappa Gowtham,203,24,19,6,186,0.0,110,447.15000000000003,0,0,13,12,1
157,Krunal Pandya,288,98,85,26,1326,20.33,970,955.02,0,1,121,50,1
158,Kuldeep Yadav,465,56,18,11,105,24.0,127,445.1,0,0,8,2,1
159,Kuldip Yadav,142,1,1,1,0,0.0,4,0.0,0,0,0,0,1
160,Kumar Kartikeya Singh,152,4,1,0,3,0.5,5,60.0,0,0,0,0,1
161,Kyle Abbott,102,5,3,2,13,0.0,8,162.5,0,0,0,1,1
162,Kyle Jamieson,67,9,7,3,65,0.0,55,118.18,0,0,5,3,1
163,Lalit Yadav,125,19,13,4,229,7.666666666666667,219,203.42000000000002,0,0,18,7,1
164,Lasith Malinga,117,12,2,2,7,0.0,3,233.33,0,0,0,1,1
165,Lendl Simmons,159,8,8,0,145,0.0,120,222.32,0,2,10,9,1
166,Liam Livingstone,153,23,23,3,550,5.202857142857143,329,432.42,0,4,38,40,1
167,Liam Plunkett,130,7,2,1,1,0.0,3,33.33,0,0,0,0,1
168,Lockie Ferguson,444,30,9,7,67,0.8333333333333334,45,536.9,0,0,6,2,1
169,MS Dhoni,208,105,90,39,1991,11.046666666666667,1538,882.72,0,9,128,103,1
170,Maheesh Theekshana,136,9,2,1,7,1.75,7,100.0,0,0,0,1,1
171,Mahipal Lomror,394,18,15,2,267,2.457142857142857,208,750.77,0,0,15,13,1
172,Manan Vohra,347,28,25,0,506,19.0,387,664.35,0,2,50,20,1
173,Mandeep Singh,382,49,46,12,768,6.0,629,683.85,0,2,63,23,1
174,Manish Pandey,189,83,77,17,2077,2.934,1649,871.65,0,16,166,62,1
175,Manoj Tiwary,98,20,17,4,371,0.0,280,244.09,0,2,35,12,1
176,Marco Jansen,275,10,5,2,9,4.5,10,128.57,0,0,0,1,1
177,Marcus Stoinis,372,67,59,18,1070,9.75,779,890.81,0,4,83,48,1
178,Mark Wood,125,1,1,0,1,0.0,3,33.33,0,0,0,0,1
179,Marlon Samuels,82,5,4,0,29,0.0,31,93.54,0,0,1,2,1
180,Martin Guptill,180,13,13,1,270,0.0,196,406.46000000000004,0,1,24,15,1
181,Matthew Wade,61,10,10,0,157,5.233333333333333,138,113.76,0,0,23,2,1
182,Mayank Agarwal,320,66,65,2,1566,16.33,1125,893.21,1,9,150,59,1
183,Mayank Markande,202,17,8,5,27,0.0,29,207.5,0,0,3,0,1
184,Mitchell Johnson,301,14,8,6,41,0.0,42,298.79999999999995,0,0,3,1,1
185,Mitchell Marsh,275,12,10,0,258,4.482857142857143,201,196.43,0,2,19,14,1
186,Mitchell McClenaghan,376,44,21,9,72,0.0,64,433.23,0,0,5,5,1
187,Mitchell Santner,190,10,6,3,54,5.5,50,220.61,0,0,3,3,1
188,Moeen Ali,249,44,42,3,910,24.4,632,682.95,0,5,76,53,1
189,Mohammad Nabi,452,17,14,2,180,0.0,119,675.47,0,0,16,9,1
190,Mohammad Shami,673,62,18,10,61,0.0,56,509.78999999999996,0,0,5,2,1
191,Mohammed Siraj,494,59,20,13,96,5.0,109,431.44,0,0,10,2,1
192,Mohit Sharma,393,38,18,7,93,0.0,91,301.99,0,0,7,2,1
193,Mohsin Khan,107,9,3,2,23,23.0,16,143.75,0,0,2,1,1
194,Moises Henriques,153,34,30,10,490,0.0,393,348.5,0,3,43,11,1
195,Morne Morkel,131,10,2,2,1,0.0,1,100.0,0,0,0,0,1
196,Mujeeb Ur Rahman,497,19,7,4,12,0.0,15,276.18,0,0,2,0,1
197,Mukesh Choudhary,139,13,2,1,6,6.0,6,100.0,0,0,1,0,1
198,Munaf Patel,140,2,1,0,0,0.0,1,0.0,0,0,0,0,1
199,Murali Vijay,253,20,20,1,561,0.0,478,423.77,0,5,60,12,1
200,Murugan Ashwin,729,42,13,4,35,4.0,50,358.21,0,0,2,1,1
201,Mustafizur Rahman,398,29,8,7,12,0.0,22,150.47,0,0,0,1,1
202,Naman Ojha,235,32,19,4,216,0.0,207,245.07999999999998,0,0,9,8,1
203,Narayan Jagadeesan,76,5,2,0,33,0.0,29,113.79,0,0,4,0,1
204,Nathan Coulter-Nile,572,25,10,4,53,0.0,48,477.6,0,0,5,2,1
205,Nathan Ellis,96,3,2,1,18,0.0,16,112.5,0,0,0,1,1
206,Navdeep Saini,490,30,7,3,33,0.6666666666666666,37,300.0,0,0,3,0,1
207,Nicholas Pooran,149,47,44,9,912,19.125,603,582.88,0,4,52,65,1
208,Nikhil Naik,316,4,4,0,31,0.0,50,151.26999999999998,0,0,2,0,1
209,Nitish Rana,175,91,85,8,2181,4.628333333333333,1625,946.5699999999999,0,15,190,111,1
210,Obed McCoy,130,7,1,0,8,1.3333333333333333,5,160.0,0,0,0,1,1
211,Odean Smith,87,6,6,3,51,4.25,44,115.9,0,0,1,5,1
212,Parthiv Patel,110,46,46,1,1098,0.0,822,530.78,0,6,140,26,1
213,Parveez Rasool,104,4,1,0,10,0.0,9,111.11,0,0,1,0,1
214,Pat Cummins,246,38,30,11,379,15.75,247,701.92,0,3,24,26,1
215,Pawan Negi,338,29,22,6,213,0.0,187,361.33000000000004,0,0,13,10,1
216,Peter Handscomb,114,2,1,0,6,0.0,12,50.0,0,0,0,0,1
