,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
129,Sheldon Cottrell,6,1,0,0,0.0,,2,0.0,0,0,0,0
130,Khaleel Ahmed,7,1,0,0,0.0,,2,0.0,0,0,0,0
131,Arshdeep Singh,8,1,0,0,0.0,,3,0.0,0,0,0,0
132,Trent Boult,15,1,0,0,0.0,,1,0.0,0,0,0,0
0,Ruturaj Gaikwad,16,16,2,635,101.0,,466,136.26,1,4,64,23
1,Faf du Plessis,16,16,2,633,95.0,,458,138.2,0,6,60,23
2,KL Rahul,13,13,3,626,98.0,,451,138.8,0,6,48,30
3,Shikhar Dhawan,16,16,1,587,92.0,,471,124.62,0,3,63,16
4,Glenn Maxwell,15,14,2,513,78.0,,356,144.1,0,6,48,21
5,Sanju Samson,14,14,2,484,119.0,,354,136.72,1,2,45,17
6,Prithvi Shaw,15,15,0,479,82.0,,301,159.13,0,4,56,18
7,Shubman Gill,17,17,0,478,57.0,,402,118.9,0,3,50,12
8,Mayank Agarwal,12,12,1,441,99.0,,314,140.44,0,4,42,18
9,Rishabh Pant,16,16,4,419,58.0,,326,128.52,0,3,42,10
10,Devdutt Padikkal,14,14,1,411,101.0,,328,125.3,1,1,44,14
11,Virat Kohli,15,15,1,405,72.0,,339,119.46,0,3,43,9
12,Rahul Tripathi,17,16,2,397,74.0,,283,140.28,0,2,41,11
13,Nitish Rana,17,16,3,383,80.0,,314,121.97,0,2,34,17
14,Rohit Sharma,13,13,0,381,63.0,,299,127.42,0,1,33,14
15,Venkatesh Iyer,10,10,1,370,67.0,,288,128.47,0,4,37,14
16,Moeen Ali,15,15,1,357,58.0,,260,137.3,0,1,31,19
17,Suryakumar Yadav,14,14,0,317,82.0,,221,143.43,0,2,40,10
18,AB de Villiers,15,14,4,313,76.0,,211,148.34,0,2,23,16
19,Quinton de Kock,11,11,1,297,70.0,,256,116.01,0,2,29,7
20,Manish Pandey,8,8,2,292,69.0,,236,123.72,0,3,21,10
21,Kane Williamson,10,10,4,266,66.0,,235,113.19,0,2,29,2
22,Ambati Rayudu,16,13,4,257,72.0,,170,151.17,0,2,16,17
23,Jos Buttler,7,7,0,254,124.0,,166,153.01,1,0,27,13
24,Yashasvi Jaiswal,10,10,0,249,50.0,,168,148.21,0,1,32,10
25,Jonny Bairstow,7,7,1,248,63.0,,175,141.71,0,2,20,15
26,Kieron Pollard,14,13,5,245,87.0,,165,148.48,0,1,16,16
27,Shimron Hetmyer,14,13,6,242,53.0,,144,168.05,0,1,19,12
28,Ishan Kishan,10,10,1,241,84.0,,180,133.88,0,2,21,10
29,Shivam Dube,9,9,1,230,64.0,,193,119.17,0,1,18,10
30,Ravindra Jadeja,16,12,9,227,62.0,,156,145.51,0,1,19,9
31,Dinesh Karthik,17,15,5,223,40.0,,170,131.17,0,0,22,7
32,David Warner,8,8,0,195,57.0,,181,107.73,0,2,15,6
33,Chris Gayle,10,10,1,193,46.0,,154,125.32,0,0,21,8
34,K.S Bharat,8,7,2,191,78.0,,156,122.43,0,1,10,8
35,Andre Russell,10,9,2,183,54.0,,120,152.5,0,1,14,14
36,Shreyas Iyer,8,8,3,175,47.0,,171,102.33,0,0,7,5
37,Deepak Hooda,12,11,1,160,64.0,,123,130.08,0,1,9,9
38,Suresh Raina,12,11,2,160,54.0,,128,125.0,0,1,13,9
39,Rahul Tewatia,14,11,1,155,44.0,,147,105.44,0,0,11,6
40,Shahrukh Khan,11,10,3,153,47.0,,114,134.21,0,0,9,10
41,Steve Smith,8,7,1,152,39.0,,135,112.59,0,0,13,2
42,Evin Lewis,5,5,0,151,58.0,,93,162.36,0,1,18,7
43,Jason Roy,5,5,0,150,60.0,,121,123.96,0,1,21,1
44,Aiden Markram,6,6,1,146,42.0,,119,122.68,0,0,12,4
45,Krunal Pandya,13,12,2,143,39.0,,123,116.26,0,0,10,6
46,Eoin Morgan,17,16,4,133,47.0,,139,95.68,0,0,8,6
47,Wriddhiman Saha,9,9,0,131,44.0,,140,93.57,0,0,7,5
48,Hardik Pandya,12,11,2,127,40.0,,112,113.39,0,0,11,5
49,David Miller,9,8,3,124,62.0,,113,109.73,0,1,11,3
50,Robin Uthappa,4,4,0,115,63.0,,84,136.9,0,1,8,5
51,Saurabh Tiwary,5,4,2,115,50.0,,97,118.55,0,1,10,2
52,MS Dhoni,16,11,4,114,18.0,,107,106.54,0,0,12,3
53,Abdul Samad,11,10,1,111,28.0,,87,127.58,0,0,4,8
54,Abhishek Sharma,8,7,1,98,33.0,,75,130.66,0,0,7,4
55,Mahipal Lomror,4,4,1,94,43.0,,73,128.76,0,0,3,6
56,Pat Cummins,7,5,2,93,66.0,,56,166.07,0,1,5,8
57,Riyan Parag,11,10,2,93,25.0,,83,112.04,0,0,6,4
58,Marcus Stoinis,10,7,3,89,27.0,,72,123.61,0,0,11,1
59,Jason Holder,8,7,1,85,47.0,,72,118.05,0,0,2,6
60,Nicholas Pooran,12,11,0,85,32.0,,76,111.84,0,0,3,5
61,Rashid Khan,14,10,2,83,22.0,,69,120.28,0,0,9,2
62,Priyam Garg,5,5,0,72,29.0,,74,97.29,0,0,2,3
63,Rajat Patidar,4,4,0,71,31.0,,62,114.51,0,0,3,3
64,Lalit Yadav,7,5,3,68,22.0,,73,93.15,0,0,7,0
65,Chris Morris,11,7,2,67,36.0,,49,136.73,0,0,2,5
66,Kyle Jamieson,9,7,3,65,16.0,,55,118.18,0,0,5,3
67,Harpreet Brar,7,5,5,64,25.0,,58,110.34,0,0,3,2
68,Sunil Narine,14,10,2,62,26.0,,47,131.91,0,0,3,5
69,Shahbaz Ahmed,11,7,0,59,14.0,,53,111.32,0,0,4,2
70,Harshal Patel,15,8,4,59,31.0,,46,128.26,0,0,6,2
71,Vijay Shankar,7,5,0,58,28.0,,52,111.53,0,0,1,3
72,Sam Curran,9,4,1,56,34.0,,29,193.1,0,0,5,3
73,Kedar Jadhav,6,5,1,55,19.0,,52,105.76,0,0,2,2
74,Chris Lynn,1,1,0,49,49.0,,35,140.0,0,0,4,3
75,Shakib Al Hasan,8,6,1,47,26.0,,48,97.91,0,0,3,1
76,Dwayne Bravo,11,3,2,47,23.0,,18,261.11,0,0,3,4
77,Ravichandran Ashwin,13,5,2,44,20.0,,42,104.76,0,0,2,1
78,Manan Vohra,4,4,0,42,14.0,,39,107.69,0,0,5,2
79,Liam Livingstone,5,5,0,42,25.0,,41,102.43,0,0,3,1
80,Jaydev Unadkat,6,3,1,41,24.0,,29,141.37,0,0,3,2
81,Axar Patel,12,6,1,40,12.0,,46,86.95,0,0,2,1
82,Mohammad Nabi,3,3,0,34,17.0,,20,170.0,0,0,3,2
83,Jayant Yadav,5,3,1,34,23.0,,26,130.76,0,0,2,1
84,Bhuvneshwar Kumar,11,7,6,34,14.0,,30,113.33,0,0,3,0
85,Chris Jordan,4,2,0,32,30.0,,21,152.38,0,0,1,3
86,Moises Henriques,5,4,2,31,14.0,,32,96.87,0,0,0,1
87,Washington Sundar,6,4,0,31,10.0,,47,65.95,0,0,2,0
88,Dawid Malan,1,1,0,26,26.0,,26,100.0,0,0,1,1
89,Glenn Phillips,3,3,1,26,14.0,,33,78.78,0,0,1,2
90,Ripal Patel,2,2,1,25,18.0,,27,92.59,0,0,3,0
91,Shivam Mavi,9,2,0,25,20.0,,20,125.0,0,0,2,2
92,Tom Curran,3,2,1,21,21.0,,17,123.52,0,0,2,0
93,Mohammed Siraj,15,4,3,20,12.0,,26,76.92,0,0,1,1
94,Prabhsimran Singh,2,2,0,19,12.0,,23,82.6,0,0,1,1
95,Nathan Ellis,3,2,1,18,12.0,,16,112.5,0,0,0,1
96,Lockie Ferguson,8,3,3,18,18.0,,11,163.63,0,0,1,1
97,Anmolpreet Singh,1,1,0,16,16.0,,14,114.28,0,0,2,1
98,Adam Milne,4,3,1,16,15.0,,17,94.11,0,0,0,1
99,Chetan Sakariya,14,6,1,16,7.0,,25,64.0,0,0,2,0
100,Jasprit Bumrah,14,7,5,16,5.0,,17,94.11,0,0,2,0
101,Mandeep Singh,1,1,0,15,15.0,,14,107.14,0,0,2,0
102,Chris Woakes,3,1,1,15,15.0,,11,136.36,0,0,2,0
103,Jhye Richardson,3,2,0,15,15.0,,24,62.5,0,0,2,0
104,Murugan Ashwin,3,2,0,15,9.0,,24,62.5,0,0,1,0
105,Virat Singh,3,2,0,15,11.0,,26,57.69,0,0,1,0
106,Jagadeesha Suchith,2,1,1,14,14.0,,6,233.33,0,0,2,1
107,Dan Christian,9,7,1,14,9.0,,24,58.33,0,0,1,0
108,Rahul Chahar,11,5,0,14,8.0,,15,93.33,0,0,1,0
109,Mohammad Shami,14,4,3,13,9.0,,17,76.47,0,0,0,0
110,Kagiso Rabada,15,3,2,13,9.0,,6,216.66,0,0,2,0
111,Yuzvendra Chahal,15,2,2,10,8.0,,27,37.03,0,0,0,0
112,Ajinkya Rahane,2,1,0,8,8.0,,8,100.0,0,0,1,0
113,Sandeep Sharma,7,2,1,8,8.0,,7,114.28,0,0,1,0
114,Siddarth Kaul,8,2,2,8,7.0,,8,100.0,0,0,1,0
115,Mustafizur Rahman,14,5,5,8,8.0,,14,57.14,0,0,0,1
116,Sachin Baby,1,1,0,7,7.0,,17,41.17,0,0,0,0
117,Shreyas Gopal,3,2,1,7,7.0,,5,140.0,0,0,0,1
118,Daniel Sams,2,2,1,6,3.0,,6,100.0,0,0,0,0
119,Fabian Allen,4,3,2,6,6.0,,12,50.0,0,0,0,0
120,Avesh Khan,16,1,1,5,5.0,,3,166.66,0,0,1,0
121,Shardul Thakur,16,4,2,5,3.0,,5,100.0,0,0,0,0
122,Harbhajan Singh,3,2,2,4,2.0,,4,100.0,0,0,0,0
123,Nathan Coulter-Nile,5,2,0,4,3.0,,5,80.0,0,0,0,0
124,Tim Southee,3,1,0,3,3.0,,5,60.0,0,0,0,0
125,Tabraiz Shamsi,1,1,1,2,2.0,,4,50.0,0,0,0,0
126,Tim Seifert,1,1,0,2,2.0,,4,50.0,0,0,0,0
127,Navdeep Saini,2,1,0,2,2.0,,4,50.0,0,0,0,0
128,Kartik Tyagi,4,2,1,2,1.0,,4,50.0,0,0,0,0
129,George Garton,5,3,2,2,2.0,,4,50.0,0,0,0,0
130,Arshdeep Singh,12,2,2,2,1.0,,3,66.66,0,0,0,0
131,Varun Chakaravarthy,17,3,2,2,2.0,,4,50.0,0,0,0,0
132,Mujeeb Ur Rahman,1,1,1,1,1.0,,1,100.0,0,0,0,0
133,Tim David,1,1,0,1,1.0,,3,33.33,0,0,0,0
134,Wanindu Hasaranga,2,2,1,1,1.0,,2,50.0,0,0,0,0
135,Khaleel Ahmed,7,1,0,1,1.0,,2,50.0,0,0,0,0
136,Ravi Bishnoi,9,1,0,1,1.0,,4,25.0,0,0,0,0
137,Trent Boult,14,4,4,1,1.0,,4,25.0,0,0,0,0
138,Deepak Chahar,15,2,2,1,1.0,,1,100.0,0,0,0,0
139,Ben Stokes,1,1,0,0,0.0,,3,0.0,0,0,0,0
140,Kamlesh Nagarkoti,1,1,0,0,0.0,,2,0.0,0,0,0,0
141,Kuldip Yadav,1,1,1,0,0.0,,4,0.0,0,0,0,0
142,Piyush Chawla,1,1,0,0,0.0,,2,0.0,0,0,0,0
143,Shahbaz Nadeem,1,1,0,0,0.0,,1,0.0,0,0,0,0
144,Anuj Rawat,2,1,0,0,0.0,,1,0.0,0,0,0,0
145,Marco Jansen,2,2,0,0,0.0,,3,0.0,0,0,0,0
146,Sarfaraz Khan,2,2,0,0,0.0,,4,0.0,0,0,0,0
147,Jimmy Neesham,3,2,0,0,0.0,,2,0.0,0,0,0,0
148,Prasidh Krishna,10,2,1,0,0.0,,1,0.0,0,0,0,0
0,Jos Buttler,17,17,2,863,116.0,57.53,579,149.05,4,4,83,45
1,K L Rahul,15,15,3,616,103.0,51.33,455,135.38,2,4,45,30
2,Quinton De Kock,15,15,1,508,140.0,36.29,341,148.97,1,3,47,23
3,Hardik Pandya,15,15,4,487,87.0,44.27,371,131.26,0,4,49,12
4,Shubman Gill,16,16,2,483,96.0,34.5,365,132.32,0,4,51,11
5,David Miller,16,16,9,481,94.0,68.71,337,142.72,0,2,32,23
6,Faf Du Plessis,16,16,1,468,96.0,31.2,367,127.52,0,3,49,13
7,Shikhar Dhawan,14,14,2,460,88.0,38.33,375,122.66,0,3,47,12
8,Sanju Samson,17,17,1,458,55.0,28.63,312,146.79,0,2,43,26
9,Deepak Hooda,15,14,0,451,59.0,32.21,330,136.66,0,4,36,18
