,Player,Mat,Inns,Ov,Wkts,Runs,Avg,Econ,SR,4w,5w,year
263,Marco Jansen,8,8,32.0,7,274,39.14,8.56,27.42,0,0,2022
264,Alzarri Joseph,9,9,30.0,7,264,37.71,8.8,25.71,0,0,2022
265,Pat Cummins,5,5,19.5,7,212,30.28,10.68,17.0,0,0,2022
266,Glenn Maxwell,13,10,24.0,6,165,27.5,6.87,24.0,0,0,2022
267,Axar Patel,13,13,43.0,6,321,53.5,7.46,43.0,0,0,2022
268,Sai Kishore,5,5,16.0,6,121,20.16,7.56,16.0,0,0,2022
269,Rishi Dhawan,6,6,19.0,6,156,26.0,8.21,19.0,0,0,2022
270,Varun Chakaravarthy,11,11,39.0,6,332,55.33,8.51,39.0,0,0,2022
271,Washington Sundar,9,8,28.0,6,239,39.83,8.53,28.0,0,0,2022
272,Liam Livingstone,14,12,23.0,6,202,33.66,8.78,23.0,0,0,2022
273,Ramandeep Singh,5,3,6.0,6,54,9.0,9.0,6.0,0,0,2022
274,Jaydev Unadkat,5,5,20.0,6,190,31.66,9.5,20.0,0,0,2022
275,Dwaine Pretorius,6,6,21.0,6,210,35.0,10.0,21.0,0,0,2022
276,Tymal Mills,5,5,17.0,6,190,31.66,11.17,17.0,0,0,2022
277,Odean Smith,6,6,15.0,6,178,29.66,11.86,15.0,1,0,2022
278,Ravindra Jadeja,10,10,33.0,5,248,49.6,7.51,39.6,0,0,2022
279,Kumar Kartikeya Singh,4,4,13.0,5,102,20.4,7.84,15.6,0,0,2022
280,Krishnappa Gowtham,4,4,12.0,5,99,19.8,8.25,14.4,0,0,2022
281,Basil Thampi,5,5,16.0,5,152,30.4,9.5,19.2,0,0,2022
282,Shivam Mavi,6,6,22.0,5,227,45.4,10.31,26.4,0,0,2022
283,Akash Deep,5,5,18.5,5,205,41.0,10.88,22.6,0,0,2022
284,Mitchell Santner,6,6,19.0,4,130,32.5,6.84,28.5,0,0,2022
285,Simarjeet Singh,6,6,18.0,4,138,34.5,7.66,27.0,0,0,2022
286,Lalit Yadav,12,8,18.0,4,150,37.5,8.33,27.0,0,0,2022
287,Mitchell Marsh,8,4,12.0,4,102,25.5,8.5,18.0,0,0,2022
288,Kieron Pollard,11,6,14.0,4,125,31.25,8.92,21.0,0,0,2022
289,Harpreet Brar,5,5,16.0,4,146,36.5,9.12,24.0,0,0,2022
290,Shahbaz Ahmed,16,14,35.0,4,336,84.0,9.6,52.5,0,0,2022
291,Marcus Stoinis,11,5,7.0,4,79,19.75,11.28,10.5,0,0,2022
292,Pradeep Sangwan,3,3,9.0,3,65,21.66,7.22,18.0,0,0,2022
293,Chetan Sakariya,3,3,11.0,3,84,28.0,7.63,22.0,0,0,2022
294,Nathan Ellis,2,2,6.0,3,55,18.33,9.16,12.0,0,0,2022
295,Vaibhav Arora,5,5,17.5,3,164,54.66,9.19,35.66,0,0,2022
296,Romario Shepherd,3,3,9.0,3,98,32.66,10.88,18.0,0,0,2022
297,Navdeep Saini,2,2,6.0,3,72,24.0,12.0,12.0,0,0,2022
298,Ayush Badoni,13,2,2.0,2,11,5.5,5.5,6.0,0,0,2022
299,Prashant Solanki,2,2,6.0,2,38,19.0,6.33,18.0,0,0,2022
300,Matheesha Pathirana,2,2,6.5,2,52,26.0,7.6,20.5,0,0,2022
