,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
535,Shaun Marsh,71,69,7,2477,95,38.614444444444445,1866,131.6222222222222,1,20,266,78,2017,9
536,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8,2008,1
537,Shaun Tait,12,4,2,22,11,11.0,23,96.15,0,0,1,1,2011,2
538,Sheldon Cottrell,6,1,0,0,0,0.0,2,0.0,0,0,0,0,2020,1
539,Sheldon Jackson,9,8,2,61,8,12.375,57,105.52,0,0,5,1,2022,2
540,Sherfane Rutherford,10,9,2,106,28,15.55,104,100.59,0,0,3,8,2022,2
541,Shikhar Dhawan,222,221,29,6769,99,33.978235294117646,5324,124.52470588235295,2,51,768,152,2024,17
542,Shimron Hetmyer,72,66,26,1244,75,30.108333333333334,812,151.54833333333332,0,4,76,82,2024,6
543,Shivam Dube,65,61,11,1502,95,27.233333333333334,1024,140.01,0,9,86,101,2024,6
544,Shivam Mavi,32,12,3,51,9,5.8325,56,81.4825,0,0,4,2,2022,4
545,Shivam Sharma,4,2,1,5,4,5.0,3,166.66,0,0,1,0,2014,1
546,Shivam Singh,1,1,1,2,2,0.0,3,66.66,0,0,0,0,2024,1
547,Shivil Kaushik,7,2,1,0,0,0.0,1,0.0,0,0,0,0,2016,1
548,Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0,2008,1
549,Shoaib Ahmed,7,3,1,1,1,0.5,6,16.66,0,0,0,0,2009,1
550,Shoaib Akhtar,3,1,0,2,2,2.0,7,28.57,0,0,0,0,2008,1
551,Shoaib Malik,7,5,1,52,24,13.0,47,110.63,0,0,5,0,2008,1
552,Shoaib Shaikh,2,1,0,6,6,6.0,7,85.71,0,0,1,0,2009,1
553,Shreevats Goswami,31,21,1,293,8,14.315714285714284,295,85.39714285714285,0,1,32,3,2020,7
554,Shreyas Gopal,49,22,8,180,9,7.7075,169,104.25,0,0,19,2,2022,8
555,Shreyas Iyer,116,115,18,3127,96,31.13666666666667,2453,121.86111111111111,0,21,271,113,2024,9
556,Shrikant Wagh,7,2,0,2,2,1.0,3,66.66,0,0,0,0,2011,1
557,Shubham Dubey,4,3,1,33,25,16.5,19,173.68,0,0,3,2,2024,1
558,Shubman Gill,103,100,15,3216,96,37.31714285714286,2370,134.96857142857144,4,20,310,95,2024,7
559,Siddarth Kaul,53,12,8,20,7,0.16666666666666666,36,49.865,0,0,1,0,2021,6
560,Siddharth Chitnis,11,8,1,99,9,11.5,89,115.3625,0,0,10,2,2012,4
561,Siddharth Trivedi,64,13,7,42,9,4.5,57,72.13799999999999,0,0,3,1,2013,5
562,Siddhesh Lad,1,1,0,15,15,15.0,13,115.38,0,0,1,1,2019,1
563,Sikandar Raza,9,9,2,182,57,24.65,136,127.49000000000001,0,1,12,8,2024,2
564,Simarjeet Singh,6,3,2,7,3,7.0,8,87.5,0,0,0,0,2022,1
565,Simon Katich,11,11,1,241,75,56.055,186,131.53,0,2,26,8,2009,2
566,Simran Singh,15,15,0,372,14,19.785,249,138.845,1,1,40,19,2023,2
567,Sohail Tanvir,11,5,2,36,13,12.0,29,124.13,0,0,3,1,2008,1
568,Sourav Ganguly,59,56,3,1349,91,25.407999999999998,1263,101.25399999999999,0,7,137,42,2012,5
569,Spencer Johnson,5,3,3,6,5,0.0,7,85.71,0,0,1,0,2024,1
570,Sreenath Aravind,29,12,8,59,9,2.0,57,104.375,0,0,7,0,2017,4
571,Sridharan Sriram,2,2,0,31,4,15.5,36,75.12,0,0,3,0,2011,2
572,Srikar Bharat,2,2,0,8,8,4.0,7,114.28,0,0,2,0,2022,1
573,Srikkanth Anirudha,15,9,3,106,64,6.1875,93,114.465,0,1,7,5,2014,4
